Date	Open	High	Low	Close
12/20/2017	179.809998	179.809998	177.360001	177.889999
12/21/2017	177.940002	178.679993	177.050003	177.449997
12/22/2017	177.139999	177.529999	176.229996	177.199997
12/26/2017	176.630005	177	174.669998	175.990005
12/27/2017	176.550003	178.440002	176.259995	177.619995
12/28/2017	177.949997	178.940002	177.679993	177.919998
12/29/2017	178	178.850006	176.460007	176.460007
1/2/2018	177.679993	181.580002	177.550003	181.419998
1/3/2018	181.880005	184.779999	181.330002	184.669998
1/4/2018	184.899994	186.210007	184.100006	184.330002
1/5/2018	185.589996	186.899994	184.929993	186.850006
1/8/2018	187.199997	188.899994	186.330002	188.279999
1/9/2018	188.699997	188.800003	187.100006	187.869995
1/10/2018	186.940002	187.889999	185.630005	187.839996
1/11/2018	188.399994	188.399994	187.380005	187.770004
1/12/2018	178.059998	181.479996	177.399994	179.369995
1/16/2018	181.5	181.75	178.039993	178.389999
1/17/2018	179.259995	179.320007	175.800003	177.600006
1/18/2018	178.130005	180.979996	177.080002	179.800003
1/19/2018	180.850006	182.369995	180.169998	181.289993
1/22/2018	180.800003	185.389999	180.410004	185.369995
1/23/2018	186.050003	189.550003	185.550003	189.350006
1/24/2018	189.889999	190.660004	186.520004	186.550003
1/25/2018	187.949997	188.619995	186.600006	187.479996
1/26/2018	187.75	190	186.809998	190
1/29/2018	188.75	188.839996	185.630005	185.979996
1/30/2018	187.619995	188.179993	181.839996	187.119995
1/31/2018	188.369995	189.830002	185.220001	186.889999
2/1/2018	188.220001	195.320007	187.889999	193.089996
2/2/2018	192.039993	194.210007	189.979996	190.279999
2/5/2018	186.929993	190.610001	180.610001	181.259995
2/6/2018	178.570007	185.770004	177.740005	185.309998
2/7/2018	184.149994	185.080002	179.949997	180.179993
2/8/2018	181.009995	181.839996	171.479996	171.580002
2/9/2018	174.759995	176.899994	167.179993	176.110001
2/12/2018	177.059998	177.550003	171.839996	176.410004
2/13/2018	175.619995	175.970001	173.100006	173.149994
2/14/2018	173.449997	179.809998	173.210007	179.520004
2/15/2018	180.5	180.5	176.839996	179.960007
2/16/2018	178.990005	179.880005	176.300003	177.360001
2/20/2018	175.770004	177.949997	175.110001	176.009995
2/21/2018	176.710007	181.270004	176.399994	177.910004
2/22/2018	178.699997	180.210007	177.410004	178.990005
2/23/2018	179.899994	183.389999	179.509995	183.289993
2/26/2018	184.580002	185.660004	183.220001	184.929993
2/27/2018	184.449997	184.699997	181.460007	181.460007
2/28/2018	182.300003	182.880005	178.139999	178.320007
3/1/2018	179.009995	180.119995	174.410004	175.940002
3/2/2018	173.289993	177.110001	172.990005	176.619995
3/5/2018	176.199997	181.149994	175.889999	180.399994
3/6/2018	181.779999	182.380005	179.110001	179.779999
3/7/2018	178.740005	183.820007	178.070007	183.710007
3/8/2018	183.559998	184.399994	181.449997	182.339996
3/9/2018	183.910004	185.509995	183.210007	185.229996
3/12/2018	185.229996	186.100006	184.220001	184.759995
3/13/2018	185.610001	185.990005	181.110001	181.880005
3/14/2018	182.600006	184.25	181.850006	184.190002
3/15/2018	183.240005	184	182.190002	183.860001
3/16/2018	184.490005	185.330002	183.410004	185.089996
3/19/2018	177.009995	177.169998	170.059998	172.559998
