Date	Open	High	Low	Close
12/20/2017	1071.780029	1073.380005	1061.52002	1064.949951
12/21/2017	1064.949951	1069.329956	1061.793945	1063.630005
12/22/2017	1061.109985	1064.199951	1059.439941	1060.119995
12/26/2017	1058.069946	1060.119995	1050.199951	1056.73999
12/27/2017	1057.390015	1058.369995	1048.050049	1049.369995
12/28/2017	1051.599976	1054.75	1044.77002	1048.140015
12/29/2017	1046.719971	1049.699951	1044.900024	1046.400024
1/2/2018	1048.339966	1066.939941	1045.22998	1065
1/3/2018	1064.310059	1086.290039	1063.209961	1082.47998
1/4/2018	1088	1093.569946	1084.001953	1086.400024
1/5/2018	1094	1104.25	1092	1102.22998
1/8/2018	1102.22998	1111.27002	1101.619995	1106.939941
1/9/2018	1109.400024	1110.569946	1101.230957	1106.26001
1/10/2018	1097.099976	1104.599976	1096.109985	1102.609985
1/11/2018	1106.300049	1106.525024	1099.589966	1105.52002
1/12/2018	1102.410034	1124.290039	1101.150024	1122.26001
1/16/2018	1132.51001	1139.910034	1117.832031	1121.76001
1/17/2018	1126.219971	1132.599976	1117.01001	1131.97998
1/18/2018	1131.410034	1132.51001	1117.5	1129.790039
1/19/2018	1131.829956	1137.859985	1128.300049	1137.51001
1/22/2018	1137.48999	1159.880005	1135.109985	1155.810059
1/23/2018	1159.849976	1171.626953	1158.75	1169.969971
1/24/2018	1177.329956	1179.859985	1161.050049	1164.23999
1/25/2018	1172.530029	1175.939941	1162.76001	1170.369995
1/26/2018	1175.079956	1175.839966	1158.109985	1175.839966
1/29/2018	1176.47998	1186.890015	1171.97998	1175.579956
1/30/2018	1167.829956	1176.52002	1163.52002	1163.689941
1/31/2018	1170.569946	1173	1159.130005	1169.939941
2/1/2018	1162.609985	1174	1157.52002	1167.699951
2/2/2018	1122	1123.069946	1107.277954	1111.900024
2/5/2018	1090.599976	1110	1052.030029	1055.800049
2/6/2018	1027.180054	1081.709961	1023.137024	1080.599976
2/7/2018	1081.540039	1081.780029	1048.26001	1048.579956
2/8/2018	1055.410034	1058.619995	1000.659973	1001.52002
2/9/2018	1017.25	1043.969971	992.559998	1037.780029
2/12/2018	1048	1061.5	1040.927979	1051.939941
2/13/2018	1045	1058.369995	1044.087036	1052.099976
2/14/2018	1048.949951	1071.719971	1046.75	1069.699951
2/15/2018	1079.069946	1091.479004	1064.339966	1089.52002
2/16/2018	1088.410034	1104.670044	1088.312988	1094.800049
2/20/2018	1090.569946	1113.949951	1088.52002	1102.459961
2/21/2018	1106.469971	1133.969971	1106.329956	1111.339966
2/22/2018	1116.189941	1122.819946	1102.589966	1106.630005
2/23/2018	1112.640015	1127.280029	1104.713989	1126.790039
2/26/2018	1127.800049	1143.959961	1126.694946	1143.75
2/27/2018	1141.23999	1144.040039	1118	1118.290039
2/28/2018	1123.030029	1127.530029	1103.23999	1104.72998
3/1/2018	1107.869995	1110.119995	1067.000977	1069.52002
3/2/2018	1053.079956	1081.999023	1048.11499	1078.920044
3/5/2018	1075.140015	1097.099976	1069	1090.930054
3/6/2018	1099.219971	1101.849976	1089.775024	1095.060059
3/7/2018	1089.189941	1112.219971	1085.482056	1109.640015
3/8/2018	1115.319946	1127.599976	1112.800049	1126
3/9/2018	1136	1160.800049	1132.46106	1160.040039
3/12/2018	1163.849976	1177.050049	1157.420044	1164.5
3/13/2018	1170	1176.76001	1133.329956	1138.170044
3/14/2018	1145.209961	1158.589966	1141.439941	1149.48999
3/15/2018	1149.959961	1161.079956	1134.540039	1149.579956
3/16/2018	1154.140015	1155.880005	1131.959961	1135.72998
3/19/2018	1120.01001	1121.98999	1089.01001	1099.819946
